date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:47:24	1099/1099	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2019:47:24%20GMT	https://trafficbot.co/login	C:/My%20Web%20Sites/MONEY%20MACHINE/trafficbot.co/login.html	(from https://trafficbot.co/)
20:47:25	9786/9786	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2019:47:24%20GMT	https://trafficbot.co/help	C:/My%20Web%20Sites/MONEY%20MACHINE/trafficbot.co/help.html	(from https://trafficbot.co/)
20:47:25	3114/3114	---M--	200	added ('OK')	text/html	etag:%22c2a-5aa18009bb55a%22	https://trafficbot.co/images/prod-sm-xs.webp	C:/My%20Web%20Sites/MONEY%20MACHINE/trafficbot.co/images/prod-sm-xs.html	(from https://trafficbot.co/)
20:47:25	1099/1099	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2019:47:25%20GMT	https://trafficbot.co/dashboard/billing/social-media/new-order	C:/My%20Web%20Sites/MONEY%20MACHINE/trafficbot.co/dashboard/billing/social-media/new-order.html	(from https://trafficbot.co/)
20:47:25	2248/2248	---M--	200	added ('OK')	text/html	etag:%228c8-5aa18009bb55a%22	https://trafficbot.co/images/prod-web-xs.webp	C:/My%20Web%20Sites/MONEY%20MACHINE/trafficbot.co/images/prod-web-xs.html	(from https://trafficbot.co/)
20:47:25	1099/1099	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2019:47:25%20GMT	https://trafficbot.co/dashboard/billing/web/new-subscription	C:/My%20Web%20Sites/MONEY%20MACHINE/trafficbot.co/dashboard/billing/web/new-subscription.html	(from https://trafficbot.co/)
20:47:26	147296/147296	---M--	200	added ('OK')	text/html	etag:%2223f60-5aa18009bb55a%22	https://trafficbot.co/images/main-slider.webp	C:/My%20Web%20Sites/MONEY%20MACHINE/trafficbot.co/images/main-slider.html	(from https://trafficbot.co/)
20:47:26	6272/6272	---M--	200	added ('OK')	text/html	etag:%221880-5aa18009bb55a%22	https://trafficbot.co/images/main-call-action.webp	C:/My%20Web%20Sites/MONEY%20MACHINE/trafficbot.co/images/main-call-action.html	(from https://trafficbot.co/)
20:47:26	612/612	---M--	200	added ('OK')	text/html	etag:%22264-5aa18009ba5ba%22	https://trafficbot.co/images/footer-widget-logo.webp	C:/My%20Web%20Sites/MONEY%20MACHINE/trafficbot.co/images/footer-widget-logo.html	(from https://trafficbot.co/)
20:47:26	11870/11870	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2019:47:26%20GMT	https://trafficbot.co/privacy-policy	C:/My%20Web%20Sites/MONEY%20MACHINE/trafficbot.co/privacy-policy.html	(from https://trafficbot.co/)
20:47:27	10243/10243	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2019:47:27%20GMT	https://trafficbot.co/terms-of-service	C:/My%20Web%20Sites/MONEY%20MACHINE/trafficbot.co/terms-of-service.html	(from https://trafficbot.co/)
20:47:27	686440/686440	---MCZ	200	added ('OK')	application/javascript	etag:%22a7968-5d9cb93abd4b9-gzip%22	https://trafficbot.co/js/home.js?id=707d195f9cbb592567ad	C:/My%20Web%20Sites/MONEY%20MACHINE/trafficbot.co/js/home6e94.js	(from https://trafficbot.co/)
20:47:27	1618/1618	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Jun%202022%2019:47:27%20GMT	https://trafficbot.co/css/images/icons/submenu.png	C:/My%20Web%20Sites/MONEY%20MACHINE/trafficbot.co/css/images/icons/submenu.png	(from https://trafficbot.co/css/home.css?id=cbb3c9cea6c312e8b4ed)
20:47:27	1618/1618	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Jun%202022%2019:47:27%20GMT	https://trafficbot.co/css/images/icons/menu-divider.png	C:/My%20Web%20Sites/MONEY%20MACHINE/trafficbot.co/css/images/icons/menu-divider.png	(from https://trafficbot.co/css/home.css?id=cbb3c9cea6c312e8b4ed)
20:47:28	1618/1618	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Jun%202022%2019:47:28%20GMT	https://trafficbot.co/css/images/icons/close.png	C:/My%20Web%20Sites/MONEY%20MACHINE/trafficbot.co/css/images/icons/close.png	(from https://trafficbot.co/css/home.css?id=cbb3c9cea6c312e8b4ed)
20:47:28	1114/1114	---M--	200	added ('OK')	text/html	etag:%2245a-5aa18009bb55a%22	https://trafficbot.co/images/pattern2.webp	C:/My%20Web%20Sites/MONEY%20MACHINE/trafficbot.co/images/pattern2.html	(from https://trafficbot.co/css/home.css?id=cbb3c9cea6c312e8b4ed)
20:47:28	1618/1618	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Jun%202022%2019:47:28%20GMT	https://trafficbot.co/css/images/grid.png	C:/My%20Web%20Sites/MONEY%20MACHINE/trafficbot.co/css/images/grid.png	(from https://trafficbot.co/css/home.css?id=cbb3c9cea6c312e8b4ed)
20:47:29	1618/1618	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Jun%202022%2019:47:29%20GMT	https://trafficbot.co/css/images/pattern.png	C:/My%20Web%20Sites/MONEY%20MACHINE/trafficbot.co/css/images/pattern.png	(from https://trafficbot.co/css/home.css?id=cbb3c9cea6c312e8b4ed)
20:47:29	1618/1618	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Jun%202022%2019:47:29%20GMT	https://trafficbot.co/css/images/parallax/parallax-bg.jpg	C:/My%20Web%20Sites/MONEY%20MACHINE/trafficbot.co/css/images/parallax/parallax-bg.jpg	(from https://trafficbot.co/css/home.css?id=cbb3c9cea6c312e8b4ed)
20:47:29	1618/1618	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Jun%202022%2019:47:29%20GMT	https://trafficbot.co/css/images/icons/iconalt.svg	C:/My%20Web%20Sites/MONEY%20MACHINE/trafficbot.co/css/images/icons/iconalt.svg	(from https://trafficbot.co/css/home.css?id=cbb3c9cea6c312e8b4ed)
20:47:30	1618/1618	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Jun%202022%2019:47:30%20GMT	https://trafficbot.co/css/images/preloader.gif	C:/My%20Web%20Sites/MONEY%20MACHINE/trafficbot.co/css/images/preloader.gif	(from https://trafficbot.co/css/home.css?id=cbb3c9cea6c312e8b4ed)
20:47:30	1618/1618	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Jun%202022%2019:47:30%20GMT	https://trafficbot.co/css/images/icons/play.png	C:/My%20Web%20Sites/MONEY%20MACHINE/trafficbot.co/css/images/icons/play.png	(from https://trafficbot.co/css/home.css?id=cbb3c9cea6c312e8b4ed)
20:47:30	103/103	---M--	200	added ('OK')	image/png	etag:%2267-5a925bc0c26bc%22	https://trafficbot.co/css/images/icons/dotted.png	C:/My%20Web%20Sites/MONEY%20MACHINE/trafficbot.co/css/images/icons/dotted.png	(from https://trafficbot.co/css/home.css?id=cbb3c9cea6c312e8b4ed)
20:47:31	3898/3898	---M--	200	added ('OK')	image/gif	etag:%22f3a-5aa18009bb55a%22	https://trafficbot.co/images/preloader-dark.gif	C:/My%20Web%20Sites/MONEY%20MACHINE/trafficbot.co/images/preloader-dark.gif	(from https://trafficbot.co/css/home.css?id=cbb3c9cea6c312e8b4ed)
20:47:31	118/118	---M--	200	added ('OK')	image/png	etag:%2276-5aa18009ba5ba%22	https://trafficbot.co/images/icons/submenu.png	C:/My%20Web%20Sites/MONEY%20MACHINE/trafficbot.co/images/icons/submenu.png	(from https://trafficbot.co/css/home.css?id=cbb3c9cea6c312e8b4ed)
20:47:31	1618/1618	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Jun%202022%2019:47:31%20GMT	https://trafficbot.co/images/preloader@2x.gif	C:/My%20Web%20Sites/MONEY%20MACHINE/trafficbot.co/images/preloader@2x.gif	(from https://trafficbot.co/css/home.css?id=cbb3c9cea6c312e8b4ed)
20:47:31	6504/6504	---M--	200	added ('OK')	image/gif	etag:%221968-5aa18009bb55a%22	https://trafficbot.co/images/preloader-dark@2x.gif	C:/My%20Web%20Sites/MONEY%20MACHINE/trafficbot.co/images/preloader-dark@2x.gif	(from https://trafficbot.co/css/home.css?id=cbb3c9cea6c312e8b4ed)
20:47:32	602/602	---M--	200	added ('OK')	image/png	etag:%2225a-5aa18009ba5ba%22	https://trafficbot.co/images/icons/widget-comment@2x.png	C:/My%20Web%20Sites/MONEY%20MACHINE/trafficbot.co/images/icons/widget-comment@2x.png	(from https://trafficbot.co/css/home.css?id=cbb3c9cea6c312e8b4ed)
20:47:32	121/121	---M--	200	added ('OK')	image/png	etag:%2279-5aa18009ba5ba%22	https://trafficbot.co/images/icons/widget-link@2x.png	C:/My%20Web%20Sites/MONEY%20MACHINE/trafficbot.co/images/icons/widget-link@2x.png	(from https://trafficbot.co/css/home.css?id=cbb3c9cea6c312e8b4ed)
20:47:32	602/602	---M--	200	added ('OK')	image/png	etag:%2225a-5aa18009ba5ba%22	https://trafficbot.co/images/icons/widget-comment-dark@2x.png	C:/My%20Web%20Sites/MONEY%20MACHINE/trafficbot.co/images/icons/widget-comment-dark@2x.png	(from https://trafficbot.co/css/home.css?id=cbb3c9cea6c312e8b4ed)
20:47:32	121/121	---M--	200	added ('OK')	image/png	etag:%2279-5aa18009ba5ba%22	https://trafficbot.co/images/icons/widget-link-dark@2x.png	C:/My%20Web%20Sites/MONEY%20MACHINE/trafficbot.co/images/icons/widget-link-dark@2x.png	(from https://trafficbot.co/css/home.css?id=cbb3c9cea6c312e8b4ed)
20:47:33	40592/40592	---M--	200	added ('OK')	text/html	etag:%229e90-5aa18009bb55a%22	https://trafficbot.co/images/prod-sm-slider.webp	C:/My%20Web%20Sites/MONEY%20MACHINE/trafficbot.co/images/prod-sm-slider.html	(from https://trafficbot.co/product/social-media-engagement)
20:47:33	44380/44380	---M--	200	added ('OK')	text/html	etag:%22ad5c-5aa18009bb55a%22	https://trafficbot.co/images/prod-web-slider.webp	C:/My%20Web%20Sites/MONEY%20MACHINE/trafficbot.co/images/prod-web-slider.html	(from https://trafficbot.co/product/website-traffic)
20:47:33	395/395	---M-Z	200	added ('OK')	text/css	etag:%2218b-5d9cb918308b9-gzip%22	https://trafficbot.co/css/app.css?id=9653b395e4bfb24444e2	C:/My%20Web%20Sites/MONEY%20MACHINE/trafficbot.co/css/appdc73.css	(from https://trafficbot.co/login)
20:47:33	852/852	---MC-	200	added ('OK')	text/javascript	date:Mon,%2006%20Jun%202022%2019:47:33%20GMT	https://www.google.com/recaptcha/api.js?render=explicit	C:/My%20Web%20Sites/MONEY%20MACHINE/www.google.com/recaptcha/apib091.js	(from https://trafficbot.co/login)
20:47:34	2941341/2941341	---MCZ	200	added ('OK')	application/javascript	etag:%222ce19d-5d9cb9182e979-gzip%22	https://trafficbot.co/js/app.js?id=f3182d1546d79265c2a6	C:/My%20Web%20Sites/MONEY%20MACHINE/trafficbot.co/js/app3cd2.js	(from https://trafficbot.co/login)
20:47:34	25062/25062	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2019:47:34%20GMT	https://trafficbot.co/help/social-media-engagement	C:/My%20Web%20Sites/MONEY%20MACHINE/trafficbot.co/help/social-media-engagement.html	(from https://trafficbot.co/help)
20:47:34	21140/21140	---M--	200	added ('OK')	text/html	etag:%225294-5aa18009bb55a%22	https://trafficbot.co/images/prod-sm-help.webp	C:/My%20Web%20Sites/MONEY%20MACHINE/trafficbot.co/images/prod-sm-help.html	(from https://trafficbot.co/help)
20:47:34	23328/23328	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2019:47:34%20GMT	https://trafficbot.co/help/website-traffic	C:/My%20Web%20Sites/MONEY%20MACHINE/trafficbot.co/help/website-traffic.html	(from https://trafficbot.co/help)
20:47:35	20990/20990	---M--	200	added ('OK')	text/html	etag:%2251fe-5aa18009bb55a%22	https://trafficbot.co/images/prod-web-help.webp	C:/My%20Web%20Sites/MONEY%20MACHINE/trafficbot.co/images/prod-web-help.html	(from https://trafficbot.co/help)
